"","Var1","Freq"
"1","RomancesFairyFolk",16
"2","TravelAdventure",4
"3","MetricalTales",36
"4","Religious",197
"5","Instruction",18
"6","GeographHistory",20
"7","SongBooks",8
"8","NurseryRhymes",18
"9","JestBooks",2
"10","ProseFiction",7
"11","HistPolitBiograph",4
